id,name,slug,category,price,compare_price,stock,is_featured,is_best_seller,is_custom_build,component_type,description,specifications,image_path,in_stock,rating_avg,review_count
36,Value Gaming Build,value-gaming-build,Custom PC Builds,1499.99,,8,False,False,True,,Pre-built Value Gaming Build - professionally assembled and tested.,"CPU: AMD Ryzen 5 7600, GPU: RTX 4060, RAM: 32GB DDR5, Storage: 1TB NVMe, Cooling: Air Cooler",,True,4.0,1
35,Streamer Pro Build,streamer-pro-build,Custom PC Builds,3499.99,,5,True,False,True,,Pre-built Streamer Pro Build - professionally assembled and tested.,"CPU: Intel Core i9-14900K, GPU: RTX 4080, RAM: 64GB DDR5, Storage: 2TB NVMe, Cooling: 360mm AIO",,True,5.0,1
34,The Ultimate Gaming Rig,ultimate-gaming-rig,Custom PC Builds,4999.99,,3,True,False,True,,Pre-built The Ultimate Gaming Rig - professionally assembled and tested.,"CPU: AMD Ryzen 9 7950X, GPU: RTX 4090, RAM: 64GB DDR5, Storage: 2TB NVMe + 4TB HDD, Cooling: Custom Loop",,True,5.0,1
33,Lethal Gaming Gear Saturn Pro,lgg-saturn-pro,Mousepads,39.99,,50,False,False,False,,The Lethal Gaming Gear Saturn Pro delivers exceptional performance for gaming and professional workloads.,"Size: XL (500x500mm), Surface: Cloth, Thickness: 4mm, Stitched Edges: Yes",,True,4.0,1
32,Artisan Hien XL,artisan-hien-xl,Mousepads,64.99,,40,False,True,False,,The Artisan Hien XL delivers exceptional performance for gaming and professional workloads.,"Size: XL (490x420mm), Surface: Hybrid Cloth, Thickness: 4mm, Base: Natural Rubber",,True,4.0,1
31,LG 27GP950-B UltraGear,lg-27gp950-b,Monitors,799.99,,8,False,False,False,,The LG 27GP950-B UltraGear delivers exceptional performance for gaming and professional workloads.,"Size: 27"", Resolution: 3840x2160 4K, Panel: Nano IPS, Refresh Rate: 160Hz, Response Time: 1ms GtG",,True,4.0,1
30,Alienware AW3423DWF QD-OLED,alienware-aw3423dwf,Monitors,1099.99,,5,True,True,False,,The Alienware AW3423DWF QD-OLED delivers exceptional performance for gaming and professional workloads.,"Size: 34"", Resolution: 3440x1440 UWQHD, Panel: QD-OLED, Refresh Rate: 165Hz, Response Time: 0.1ms GtG",,True,5.0,1
29,Logitech G Pro X Wireless,logitech-g-pro-x-wireless,Headsets,229.99,,14,False,False,False,,The Logitech G Pro X Wireless delivers exceptional performance for gaming and professional workloads.,"Driver: 50mm PRO-G, Surround Sound: DTS 7.1, Microphone: Blue VO!CE, Battery: 20+ Hours",,True,4.0,1
28,SteelSeries Arctis Nova Pro,steelseries-arctis-nova-pro,Headsets,349.99,,10,True,False,False,,The SteelSeries Arctis Nova Pro delivers exceptional performance for gaming and professional workloads.,"Driver: 40mm Neodymium, Frequency Response: 20-22,000 Hz, Microphone: AI-Powered Noise Cancellation, Connectivity: USB/3.5mm/Bluetooth",,True,5.0,1
27,Pulsar X2H Mini,pulsar-x2h-mini,Mice,89.99,,30,False,False,False,,The Pulsar X2H Mini delivers exceptional performance for gaming and professional workloads.,"Sensor: PAW3395, DPI: 26,000, Weight: 52g, Connectivity: Wireless",,True,4.0,1
26,Logitech G Pro X Superlight 2,logitech-g-pro-x-superlight-2,Mice,159.99,,18,True,False,False,,The Logitech G Pro X Superlight 2 delivers exceptional performance for gaming and professional workloads.,"Sensor: HERO 2, DPI: 32,000, Weight: 60g, Battery: 95 Hours, Connectivity: LIGHTSPEED Wireless",,True,4.0,1
25,Razer DeathAdder V3 Pro,razer-deathadder-v3-pro,Mice,149.99,,25,False,True,False,,The Razer DeathAdder V3 Pro delivers exceptional performance for gaming and professional workloads.,"Sensor: Focus Pro 30K, DPI: 30,000, Weight: 63g, Battery: 90 Hours, Connectivity: Wireless",,True,4.0,1
24,Logitech G Pro X TKL,logitech-g-pro-x-tkl,Keyboards,179.99,,22,False,True,False,,The Logitech G Pro X TKL delivers exceptional performance for gaming and professional workloads.,"Switch Type: GX Blue/Brown/Red, Form Factor: TKL, RGB: LIGHTSYNC, Lightspeed Wireless: Yes",,True,4.0,1
23,Keychron Q1 Pro,keychron-q1-pro,Keyboards,219.99,,15,False,False,False,,The Keychron Q1 Pro delivers exceptional performance for gaming and professional workloads.,"Switch Type: Gateron Jupiter, Form Factor: 75%, RGB: South-Facing, Connectivity: Wireless/Wired, Material: Aluminum",,True,4.0,1
22,Wooting 60HE+,wooting-60he-plus,Keyboards,199.99,,20,True,True,False,,The Wooting 60HE+ delivers exceptional performance for gaming and professional workloads.,"Switch Type: Lekker V2 Magnetic, Form Factor: 60%, RGB: Per-Key, Hot-Swappable: Yes, Polling Rate: 8000Hz",,True,4.0,1
21,Corsair 5000D Airflow,corsair-5000d-airflow,Cases,149.99,,14,False,False,False,case,The Corsair 5000D Airflow delivers exceptional performance for gaming and professional workloads.,"Form Factor: Mid Tower, Motherboard Support: ATX, mATX, Mini-ITX, GPU Clearance: 420mm, Cooler Clearance: 170mm",,True,4.0,1
20,Lian Li O11 Dynamic EVO,lian-li-o11-dynamic-evo,Cases,179.99,,8,True,False,False,case,The Lian Li O11 Dynamic EVO delivers exceptional performance for gaming and professional workloads.,"Form Factor: Mid Tower, Motherboard Support: E-ATX, ATX, mATX, GPU Clearance: 420mm, Cooler Clearance: 167mm",,True,4.0,1
19,Noctua NH-D15 Chromax Black,noctua-nh-d15-chromax,Cooling,119.99,,15,False,True,False,cooling,The Noctua NH-D15 Chromax Black delivers exceptional performance for gaming and professional workloads.,"Type: Dual Tower Air Cooler, Fan Size: 2x 140mm, TDP: 250W+, Noise: 24.6 dBA",,True,4.0,1
